代码,名称,现价,正股代码,正股名称,规模,剩余规模,转股起始日,最后交易日,到期日,转股价,强赎触发比,强赎触发价,正股价,强赎价,强赎天计数,强赎条款,强赎状态
127027,能化转债,111.172,000552,甘肃能化,28.0,19.463,2021-06-16,,2026-12-10,2.93,130,3.809,2.61,,0/15 | 30,如果公司股票在任何连续 30 个交易日中至少 15 个交易日的 收盘价格不低于当期转股价格的 130%(含 130%),
127031,洋丰转债,119.663,000902,新洋丰,10.0,9.999,2021-10-08,,2027-03-25,16.79,130,21.827,14.24,,0/15 | 30,如果公司股票连续30个交易日中至少有15个交 易日的收盘价格不低于当期转股价格的130%(含 130%),
127034,绿茵转债,120.307,002887,绿茵生态,7.12,4.279,2021-11-11,,2027-04-30,11.21,130,14.573,9.73,,0/15 | 30,公司股票连续三十个交易日中至少十五个交易日的收盘价格 不低于当期转股价格的 130%(含 130%),
127038,国微转债,117.603,002049,紫光国微,15.0,14.915,2021-12-17,,2027-06-10,97.01,130,126.113,62.6,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%),
123222,博俊转债,149.06,300926,博俊科技,5.0,2.438,2024-03-14,,2029-09-08,16.46,130,21.398,17.93,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
123090,三诺转债,111.51,300298,三诺生物,5.0,4.984,2021-06-25,,2026-12-21,34.52,130,44.876,15.94,,0/15 | 30,如果公司A股股票在任意连续三十个交易日中至少十五个 交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113627,太平转债,114.036,603877,太平鸟,8.0,7.996,2022-01-21,,2027-07-15,20.61,130,26.793,12.98,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少十五个交 易日的收盘价格不低于当期转股价格的 130%(含 130%),
113625,江山转债,116.798,603208,江山欧派,5.83,5.825,2021-12-20,,2027-06-11,19.84,130,25.792,11.64,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113616,韦尔转债,109.47,603501,豪威集团,24.4,24.324,2021-07-05,,2026-12-28,159.02,130,206.726,80.61,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113631,皖天转债,136.771,603689,皖天然气,9.3,5.958,2022-05-12,,2027-11-08,6.51,130,8.463,7.85,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113633,科沃转债,112.571,603486,科沃斯,10.4,10.396,2022-06-06,,2027-11-30,172.97,130,224.861,50.93,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有 十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113636,甬金转债,134.014,603995,甬金股份,10.0,9.995,2022-06-17,,2027-12-13,26.22,130,34.086,25.3,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113634,珀莱转债,125.076,603605,珀莱雅,7.517,7.507,2022-06-14,,2027-12-08,94.27,130,122.551,62.8,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113610,灵康转债,121.601,603669,灵康药业,5.25,2.528,2021-06-07,,2026-12-01,6.5,130,8.45,5.41,,0/15 | 30,在转股期内，如果公司股票在任意连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%(含 130%),
113605,大参转债,113.426,603233,大参林,14.05,14.044,2021-04-28,,2026-10-22,16.86,130,21.918,18.08,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%(含 130%),
113058,友发转债,132.649,601686,友发集团,20.0,18.638,2022-10-10,,2028-03-30,4.48,130,5.824,5.26,,0/15 | 30,如果本公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）,
113056,重银转债,127.083,601963,重庆银行,130.0,115.622,2022-09-30,,2028-03-23,9.22,130,11.986,11.35,,0/15 | 30,如果公司 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%），,
113059,福莱转债,117.535,601865,福莱特,40.0,39.999,2022-11-28,,2028-05-20,41.56,130,54.028,9.95,,0/15 | 30,如果公司A股股票连续30个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的130%（含 130%）,
113062,常银转债,128.812,601128,常熟银行,60.0,59.994,2023-03-21,,2028-09-15,5.25,130,6.825,6.34,,0/15 | 30,如果本行 A 股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113070,渝水转债,124.714,601158,重庆水务,19.0,18.998,2025-07-15,,2031-01-09,4.72,130,6.136,4.11,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113067,燃23转债,128.457,601139,深圳燃气,30.0,29.999,2024-02-02,,2029-07-27,7.24,130,9.412,6.52,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格高于当期转股价格的 130%；,
113638,台21转债,126.267,603055,台华新材,6.0,5.997,2022-07-05,,2027-12-29,16.01,130,20.813,9.56,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113643,风语转债,142.636,603466,风语筑,5.0,4.992,2022-10-10,,2028-03-25,11.8,130,15.34,12.06,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113661,福22转债,135.484,603806,福斯特,30.3,30.297,2023-05-29,,2028-11-22,14.59,130,18.967,14.31,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113660,寿22转债,123.568,603896,寿仙谷,3.98,3.977,2023-05-23,,2028-11-17,36.84,130,47.892,14.92,,0/15 | 30,如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%）,
113659,莱克转债,129.954,603355,莱克电气,12.0,11.998,2023-04-20,,2028-10-14,31.72,130,41.236,27.39,,0/15 | 30,如果公司股票在任何连续 30 个交易日中至少 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113665,汇通转债,129.13,603176,汇通集团,3.6,3.596,2023-06-21,,2028-12-15,6.28,130,8.164,5.52,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113666,爱玛转债,120.744,603529,爱玛科技,20.0,19.994,2023-09-01,,2029-02-23,37.06,130,48.178,21.76,,0/15 | 30,如果公司股票在任何连续 30 个交易日中至少 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113671,武进转债,128.55,603878,武进不锈,3.1,3.093,2024-01-15,,2029-07-10,7.88,130,10.244,5.24,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113670,金23转债,123.093,603180,金牌家居,7.7,7.7,2023-10-23,,2029-04-17,37.54,130,48.802,15.96,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含）,
113656,嘉诚转债,119.797,603535,嘉诚国际,8.0,7.998,2023-03-07,,2028-09-01,10.33,130,13.429,6.42,,0/15 | 30,如果公司股票在任何连续 30 个交易日中至少有 15 个交易日的收盘价格不低于当期转股价格的 130%（含 130%）；,
113655,欧22转债,120.421,603833,欧派家居,20.0,19.999,2023-02-13,,2028-08-05,51.29,130,66.677,30.95,,0/15 | 30,如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113647,禾丰转债,118.445,603609,禾丰股份,15.0,14.669,2022-10-28,,2028-04-22,10.09,130,13.117,6.49,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113646,永吉转债,165.991,603058,永吉股份,1.459,1.372,2022-10-20,,2028-04-14,8.05,130,10.465,9.82,,0/15 | 30,公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
113648,巨星转债,117.258,603477,巨星农牧,10.0,8.997,2022-10-31,,2028-04-25,24.84,130,32.292,15.1,,0/15 | 30,如果公司股票在任意连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含）,
113649,丰山转债,133.211,603810,丰山集团,5.0,4.577,2023-01-03,,2028-06-27,13.61,130,17.693,12.57,,0/15 | 30,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的 130%（含 130%）,
